,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
52,"Sold - Sep 27, 2023","$15,000",,,,0.25acre lot0.25 acre lot,"1031 S Jackson StJackson, MI 49203"
53,"Sold - Oct 14, 2023","$315,000",4bed,2.5bath,"1,960sqft1,960 square feet",3.44acre lot3.44 acre lot,"2280 W Kimmel RdJackson, MI 49201"
54,"Sold - Aug 2, 2023","$9,000",,,,0.27acre lot0.27 acre lot,"V/L Burt AveJackson, MI 49201"
55,"Sold - Nov 20, 2023","$159,000",2bed,1bath,"1,232sqft1,232 square feet","8,712sqft lot8,712 square foot lot","803 S Dettman RdJackson, MI 49203"
56,"Sold - Sep 14, 2023","$364,900",3bed,3bath,"2,265sqft2,265 square feet",,"4115 Stoneridge DrJackson, MI 49203"
57,"Sold - Oct 30, 2023","$190,000",3bed,1.5bath,"1,664sqft1,664 square feet","9,583sqft lot9,583 square foot lot","4053 Cash DrJackson, MI 49201"
58,"Sold - Jul 6, 2023","$152,000",3bed,1bath,972sqft972 square feet,0.38acre lot0.38 acre lot,"245 Kenneth StJackson, MI 49203"
59,"Sold - Aug 23, 2023","$158,000",3bed,2bath,"1,548sqft1,548 square feet",0.23acre lot0.23 acre lot,"115 N Pleasant StJackson, MI 49202"
60,"Sold - Jul 14, 2023","$254,000",3bed,2bath,"1,251sqft1,251 square feet",0.69acre lot0.69 acre lot,"3410 Pine Ridge DrJackson, MI 49201"
61,"Sold - Jun 16, 2023","$8,000",Studio,,600sqft600 square feet,"2,178sqft lot2,178 square foot lot","404 Homewild AveJackson, MI 49201"
62,"Sold - Oct 2, 2023","$129,100",3bed,1bath,909sqft909 square feet,"5,663sqft lot5,663 square foot lot","2118 Sunnyside CtJackson, MI 49203"
63,"Sold - Aug 28, 2023","$175,000",4bed,2bath,"2,477sqft2,477 square feet","5,663sqft lot5,663 square foot lot","501 W Washington AveJackson, MI 49201"
64,"Sold - Jun 16, 2023","$147,500",2bed,1bath,"1,007sqft1,007 square feet","6,534sqft lot6,534 square foot lot","711 Gettysburg AveJackson, MI 49203"
65,"Sold - Nov 21, 2023","$1,407,000$101k",4bed,4.5bath,"5,347sqft5,347 square feet",2.86acre lot2.86 acre lot,"6841 Price Lake Rd NJackson, MI 49201"
66,"Sold - Nov 1, 2023","$72,000",,,,"8,276sqft lot8,276 square foot lot","817 S Elm AveJackson, MI 49203"
67,"Sold - Sep 27, 2023","$225,000$5k",4bed,2.5bath,"2,075sqft2,075 square feet",0.34acre lot0.34 acre lot,"3048 John Glenn DrJackson, MI 49201"
68,"Sold - Aug 11, 2023","$8,200",,,,3.4acre lot3.4 acre lot,"W Michigan AveJackson, MI 49201"
69,"Sold - Nov 8, 2023","$169,900",3bed,1.5bath,"1,504sqft1,504 square feet","6,534sqft lot6,534 square foot lot","106 N Durand StJackson, MI 49202"
70,"Sold - Nov 6, 2023","$230,000",4bed,1.5bath,"2,299sqft2,299 square feet","8,712sqft lot8,712 square foot lot","1010 W Washington AveJackson, MI 49203"
71,"Sold - Oct 6, 2023","$285,000$16k",4bed,2.5bath,"2,446sqft2,446 square feet",9.83acre lot9.83 acre lot,"501 Dalton RdJackson, MI 49201"
72,"Sold - Nov 15, 2023","$148,000",4bed,1.5bath,"1,645sqft1,645 square feet",1acre lot1 acre lot,"237 W Clark StJackson, MI 49203"
73,"Sold - Oct 16, 2023","$95,000",2bed,2bath,980sqft980 square feet,0.55acre lot0.55 acre lot,"4483 Yuma DrJackson, MI 49201"
74,"Sold - Aug 31, 2023","$240,000",9bed,5bath,,1.24acre lot1.24 acre lot,"6934 Lansing AveJackson, MI 49201"
75,"Sold - Oct 20, 2023","$315,000",3bed,2bath,"1,402sqft1,402 square feet",0.34acre lot0.34 acre lot,"3399 Pine Ridge DrJackson, MI 49201"
76,"Sold - Jul 21, 2023","$25,000",4bed,1bath,"1,332sqft1,332 square feet","6,316sqft lot6,316 square foot lot","922 S Martin Luther King DrJackson, MI 49203"
77,"Sold - Oct 20, 2023","$95,000",,,,10acre lot10 acre lot,"Kibby RdJackson, MI 49201"
