,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
350,"Sold - Sep 29, 2023","$250,000",4bed,2bath,"1,652sqft1,652 square feet",0.32acre lot0.32 acre lot,"2512 McCain RdJackson, MI 49203"
351,"Sold - Aug 1, 2023","$409,900",5bed,2.5bath,"3,963sqft3,963 square feet",3.5acre lot3.5 acre lot,"4557 Rives Junction RdJackson, MI 49201"
352,"Sold - Sep 8, 2023","$310,000$10.1k",4bed,2bath,"4,355sqft4,355 square feet",0.49acre lot0.49 acre lot,"1828 N Walmont RdJackson, MI 49203"
353,"Sold - Oct 19, 2023","$82,000",3bed,1bath,"1,847sqft1,847 square feet","9,148sqft lot9,148 square foot lot","1023 Maple AveJackson, MI 49203"
354,"Sold - Oct 13, 2023","$87,000",5bed,1.5+bath,"1,934sqft1,934 square feet",0.28acre lot0.28 acre lot,"608 W Ganson StJackson, MI 49201"
355,"Sold - Aug 23, 2023","$172,500$5k",3bed,1bath,"1,440sqft1,440 square feet","7,405sqft lot7,405 square foot lot","508 Heyser StJackson, MI 49203"
356,"Sold - Jul 12, 2023","$150,000",,2bath,"1,280sqft1,280 square feet",,"724 W Barrington CirJackson, MI 49203"
357,"Sold - Aug 24, 2023","$260,000",5bed,3.5+bath,"2,468sqft2,468 square feet",0.96acre lot0.96 acre lot,"1049 Orne StJackson, MI 49203"
358,"Sold - Jul 25, 2023","$205,500",3bed,2bath,"1,224sqft1,224 square feet",0.31acre lot0.31 acre lot,"2165 Maple DrJackson, MI 49203"
359,"Sold - Aug 14, 2023","$216,000",3bed,1.5bath,"1,719sqft1,719 square feet",0.5acre lot0.5 acre lot,"689 Leo RdJackson, MI 49203"
360,"Sold - Oct 24, 2023","$28,000",,,,2.52acre lot2.52 acre lot,"Wolhavn LnJackson, MI 49201"
361,"Sold - Sep 12, 2023","$160,000",4bed,1bath,"1,202sqft1,202 square feet",0.34acre lot0.34 acre lot,"2403 Twilight StJackson, MI 49203"
362,"Sold - Sep 18, 2023","$295,000",3bed,1.5bath,"1,250sqft1,250 square feet",14.97acre lot14.97 acre lot,"3851 Clarkway RdJackson, MI 49203"
363,"Sold - Nov 29, 2023","$269,500",3bed,2.5+bath,"2,327sqft2,327 square feet",0.28acre lot0.28 acre lot,"2321 Ridgeway RdJackson, MI 49203"
364,"Sold - Nov 15, 2023","$131,000",2bed,1bath,785sqft785 square feet,"5,200sqft lot5,200 square foot lot","531 Barrett AveJackson, MI 49202"
365,"Sold - Oct 20, 2023","$680,000",3bed,2.5bath,"2,300sqft2,300 square feet",3.34acre lot3.34 acre lot,"7764 Greenwood RdJackson, MI 49201"
366,"Sold - Sep 1, 2023","$22,500",2bed,1bath,"1,032sqft1,032 square feet","2,614sqft lot2,614 square foot lot","103 Mitchell StJackson, MI 49203"
367,"Sold - Aug 11, 2023","$209,000",3bed,2bath,"1,388sqft1,388 square feet",1acre lot1 acre lot,"2853 Walcott RdJackson, MI 49201"
368,"Sold - Aug 1, 2023","$128,000",3bed,1bath,"1,248sqft1,248 square feet","3,049sqft lot3,049 square foot lot","106 S Wisner StJackson, MI 49203"
369,"Sold - Sep 1, 2023","$310,000",4bed,2.5bath,"2,522sqft2,522 square feet",0.51acre lot0.51 acre lot,"5900 S Jackson RdJackson, MI 49201"
370,"Sold - Dec 8, 2023","$275,000$5.1k",3bed,2.5bath,"1,800sqft1,800 square feet",0.44acre lot0.44 acre lot,"4638 S Jackson RdJackson, MI 49201"
371,"Sold - Nov 17, 2023","$100,000",1bed,1bath,660sqft660 square feet,"5,227sqft lot5,227 square foot lot","2318 W Franklin StJackson, MI 49203"
372,"Sold - Nov 17, 2023","$252,500",4bed,2.5bath,"1,308sqft1,308 square feet",0.3acre lot0.3 acre lot,"1021 S Thompson StJackson, MI 49203"
373,"Sold - Nov 16, 2023","$156,600",3bed,1bath,"2,135sqft2,135 square feet","8,712sqft lot8,712 square foot lot","114 S Durand StJackson, MI 49203"
374,"Sold - Dec 4, 2023","$175,501",3bed,1bath,"1,136sqft1,136 square feet","4,922sqft lot4,922 square foot lot","769 Randolph StJackson, MI 49203"
375,"Sold - Nov 22, 2023","$150,000$2.5k",2bed,1bath,868sqft868 square feet,0.24acre lot0.24 acre lot,"520 Andrew AveJackson, MI 49202"
376,"Sold - Oct 23, 2023","$147,000",3bed,1bath,"1,174sqft1,174 square feet","9,583sqft lot9,583 square foot lot","599 Royal DrJackson, MI 49202"
377,"Sold - Dec 6, 2023","$70,000$1.4k",3bed,1bath,"1,144sqft1,144 square feet","4,269sqft lot4,269 square foot lot","1901 Deyo StJackson, MI 49203"
378,"Sold - Nov 27, 2023","$85,000",1bed,1bath,700sqft700 square feet,"8,276sqft lot8,276 square foot lot","241 Kenneth StJackson, MI 49203"
379,"Sold - Aug 11, 2023","$185,000",3bed,1.5bath,"1,274sqft1,274 square feet",0.27acre lot0.27 acre lot,"817 Eaton StJackson, MI 49202"
380,"Sold - Aug 29, 2023","$275,000",2bed,1bath,978sqft978 square feet,"6,120sqft lot6,120 square foot lot","8081 Fairview CtJackson, MI 49201"
381,"Sold - Sep 14, 2023","$110,000",2bed,1bath,945sqft945 square feet,"6,534sqft lot6,534 square foot lot","202 Fifth StJackson, MI 49203"
382,"Sold - Sep 11, 2023","$130,000",3bed,1bath,"1,636sqft1,636 square feet",0.6acre lot0.6 acre lot,"1615 Gilletts Lake RdLeoni Township, MI 49201"
383,"Sold - Nov 21, 2023","$160,000",3bed,1bath,"1,525sqft1,525 square feet",1.21acre lot1.21 acre lot,"5835 Stony Lake RdJackson, MI 49201"
384,"Sold - Nov 13, 2023","$277,500$4k",3bed,2bath,"1,842sqft1,842 square feet",0.27acre lot0.27 acre lot,"1321 Catsyl RdJackson, MI 49203"
385,"Sold - Aug 4, 2023","$43,000",1bed,1bath,600sqft600 square feet,2acre lot2 acre lot,"7640 Clark Lake RdJackson, MI 49201"
386,"Sold - Oct 10, 2023","$203,000",3bed,2bath,"2,413sqft2,413 square feet",0.34acre lot0.34 acre lot,"115 W Meadow Heights AveJackson, MI 49203"
387,"Sold - Sep 15, 2023","$170,000",3bed,1bath,988sqft988 square feet,1.08acre lot1.08 acre lot,"327 Fernwood AveSummit Township, MI 49203"
388,"Sold - Sep 29, 2023","$108,000$10k",2bed,1.5bath,"1,080sqft1,080 square feet","8,712sqft lot8,712 square foot lot","1009 Henrietta StSummit Township, MI 49203"
389,"Sold - Jun 22, 2023","$215,000",2bed,1bath,900sqft900 square feet,0.3acre lot0.3 acre lot,"246 Ackerson Lake DrJackson, MI 49201"
390,"Sold - Jun 22, 2023","$435,000",4bed,3.5bath,"5,256sqft5,256 square feet",5.45acre lot5.45 acre lot,"1942 Park DrJackson, MI 49203"
391,"Sold - Jul 12, 2023","$179,040",3bed,2bath,"1,536sqft1,536 square feet",1.03acre lot1.03 acre lot,"4121 McArthur RdJackson, MI 49203"
392,"Sold - Aug 29, 2023","$167,000",3bed,1bath,952sqft952 square feet,0.28acre lot0.28 acre lot,"4016 Rodman DrJackson, MI 49203"
393,"Sold - Sep 29, 2023","$281,000",3bed,2bath,"2,812sqft2,812 square feet",0.31acre lot0.31 acre lot,"1313 Catsyl RdJackson, MI 49203"
394,"Sold - Jun 14, 2023","$289,900$5.1k",3bed,2.5bath,"1,780sqft1,780 square feet",0.71acre lot0.71 acre lot,"4119 Feldman CtJackson, MI 49201"
395,"Sold - Nov 30, 2023","$390,000",5bed,3.5bath,"2,054sqft2,054 square feet",0.5acre lot0.5 acre lot,"4026 Kingston CtJackson, MI 49203"
396,"Sold - Jul 24, 2023","$185,000",3bed,1.5bath,"1,701sqft1,701 square feet",0.36acre lot0.36 acre lot,"121 W Southfield DrJackson, MI 49203"
397,"Sold - Jul 31, 2023","$315,000",4bed,1.5bath,"1,572sqft1,572 square feet",1.4acre lot1.4 acre lot,"5716 Brooklyn RdJackson, MI 49201"
398,"Sold - Jul 18, 2023","$180,000",2bed,1bath,816sqft816 square feet,2acre lot2 acre lot,"10110 Seymour RdJackson, MI 49240"
399,"Sold - Nov 27, 2023","$105,000",2bed,2bath,850sqft850 square feet,"3,049sqft lot3,049 square foot lot","103 Ridge StJackson, MI 49203"
400,"Sold - Dec 12, 2023","$295,000",3bed,2bath,"1,450sqft1,450 square feet",0.33acre lot0.33 acre lot,"1219 Annadan CtJackson, MI 49203"
401,"Sold - Sep 13, 2023","$205,000$30k",2bed,1.5bath,816sqft816 square feet,0.93acre lot0.93 acre lot,"616 Hinckley BlvdJackson, MI 49203"
402,"Sold - Jul 7, 2023","$235,000",3bed,2bath,"1,548sqft1,548 square feet",0.78acre lot0.78 acre lot,"7749 Napoleon RdJackson, MI 49201"
403,"Sold - Sep 14, 2023","$25,000",,,,5.63acre lot5.63 acre lot,"Vl Henry RdJackson, MI 49201"
404,"Sold - Jun 20, 2023","$14,400",,,,1.29acre lot1.29 acre lot,"900 E McDevitt AveJackson, MI 49203"
405,"Sold - Oct 6, 2023","$420,000",3bed,2.5bath,"3,331sqft3,331 square feet",30.83acre lot30.83 acre lot,"5988 Murray RdBlackman Township, MI 49201"
406,"Sold - Nov 6, 2023","$112,550",2bed,1bath,"1,017sqft1,017 square feet","5,227sqft lot5,227 square foot lot","501 Hudson AveJackson, MI 49203"
407,"Sold - Aug 22, 2023","$152,000",4bed,1bath,"1,080sqft1,080 square feet","7,405sqft lot7,405 square foot lot","128 Ronald RdJackson, MI 49203"
408,"Sold - Aug 25, 2023","$119,000",3bed,1bath,864sqft864 square feet,"4,356sqft lot4,356 square foot lot","109 Cass AveJackson, MI 49203"
409,"Sold - Oct 6, 2023","$99,900",2bed,1bath,"1,019sqft1,019 square feet","3,049sqft lot3,049 square foot lot","4811 Francis StJackson, MI 49203"
410,"Sold - Nov 3, 2023","$170,000",4bed,2bath,"1,766sqft1,766 square feet",0.7acre lot0.7 acre lot,"110 N Street CtJackson, MI 49201"
411,"Sold - Jun 22, 2023","$17,500",,,,0.92acre lot0.92 acre lot,"Silkworth BlvdJackson, MI 49201"
412,"Sold - Jul 21, 2023","$108,000",2bed,1bath,868sqft868 square feet,0.5acre lot0.5 acre lot,"2531 Shirley DrBlackman Township, MI 49202"
413,"Sold - Jun 15, 2023","$94,000",2bed,1.5bath,900sqft900 square feet,0.23acre lot0.23 acre lot,"9437 Cady RdJackson, MI 49201"
414,"Sold - Oct 18, 2023","$348,000",3bed,2.5bath,"1,756sqft1,756 square feet",1.66acre lot1.66 acre lot,"4035 S Stony Meadows DrJackson, MI 49201"
415,"Sold - Oct 12, 2023","$40,500",3bed,1.5bath,"1,597sqft1,597 square feet",1acre lot1 acre lot,"103 N Street CtJackson, MI 49201"
416,"Sold - Aug 2, 2023","$155,000",2bed,1bath,"1,104sqft1,104 square feet",1.25acre lot1.25 acre lot,"2359 E South StLeoni Township, MI 49201"
417,"Sold - Jun 30, 2023","$193,000",4bed,1bath,"1,440sqft1,440 square feet",0.26acre lot0.26 acre lot,"4120 N Draper RdJackson, MI 49203"
418,"Sold - Jun 30, 2023","$141,000",2bed,1bath,"1,351sqft1,351 square feet","6,098sqft lot6,098 square foot lot","517 Cass AveJackson, MI 49203"
419,"Sold - Jul 7, 2023","$172,000",3bed,1bath,"1,064sqft1,064 square feet",0.48acre lot0.48 acre lot,"527 Gregory PlLeoni Township, MI 49202"
